Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Abril;Bovino;Cárnico;Carne deshuesada;Nicaragua;64948.96;579623.19
Abril;Bovino;Cárnico;Churrasco;Estados Unidos;8920.53;53717.82
Abril;Bovino;Cárnico;Cortes;Estados Unidos;1347566.13;8905221.99
Abril;Bovino;Cárnico;Cortes;Nicaragua;87193.22;622394.34
Abril;Bovino;Cárnico;Costillas;Estados Unidos;116761.46;431283.13
Abril;Bovino;Cárnico;Filete;Estados Unidos;24644.46;471970.38
Abril;Bovino;Cárnico;Higado;Estados Unidos;47312.5;88830.8
Abril;Bovino;Cárnico;Lomo;Estados Unidos;53353.59;161044.98
Abril;Bovino;Cárnico;Paleta;Estados Unidos;26269.55;89503.07
Abril;Bovino;Cárnico;Panceta;Estados Unidos;49181.25;214125
Abril;Bovino;Cárnico;Paticas;España;71825.24;173911.05
Abril;Bovino;Cárnico;Paticas;Nicaragua;19052;42860
Abril;Bovino;Cárnico;Tiras;Estados Unidos;539.68;15803.43
Abril;Bovino;Cárnico;Torta;Guatemala;17389.34;127515.75
Abril;Bovino;Cárnico;Trimming;Estados Unidos;40939.8;106242
Abril;Bovino;Cárnico;Trimming;Nicaragua;21772.66;136800
Abril;Bovino;Cárnico;Tripas Artificiales de Celulosa;Estados Unidos;3169;49395.72
Abril;Bovino;Cárnico;Tripas Artificiales de Celulosa;Mexico;1392.38;26880.45
Abril;Bovino;Cárnico;Tripas Naturales;Estados Unidos;5003.69;101997.4
Mayo;Bovino;Cárnico;Carne Molida;Estados Unidos;664803.45;813318.35
Mayo;Bovino;Cárnico;Cortes;Estados Unidos;967613.75;5394700.79
Mayo;Bovino;Cárnico;Cortes;Guatemala;21569.44;147411.2
Mayo;Bovino;Cárnico;Cortes;Nicaragua;21967.86;185302.11
Mayo;Bovino;Cárnico;Costillas;Estados Unidos;120760.98;413017.45
Mayo;Bovino;Cárnico;Hamburguesas;Estados Unidos;1469.39;15162.68
Mayo;Bovino;Cárnico;Lomo;Estados Unidos;20408;57468.32
Mayo;Bovino;Cárnico;Paleta;Estados Unidos;258024.68;870585.81
Mayo;Bovino;Cárnico;Panceta;Estados Unidos;5000;13150
Mayo;Bovino;Cárnico;Paticas;España;49999.99;127865.3
